age,salary,department,join_date
25,63777,Sales,2015-12-09
29,70402,HR,2016-01-27
27,74388,HR,2017-07-09
26,68900,Sales,2015-07-21
34,68448,IT,2015-12-10
31,63733,HR,2016-02-12
33,73016,HR,2016-10-29
29,61085,IT,2015-11-06
28,70150,Sales,2017-02-25
28,74419,HR,2018-10-07
31,67544,IT,2016-04-17
27,72694,HR,2017-02-20
34,69298,Sales,2015-03-30
30,57955,HR,2018-03-19
32,56605,Sales,2016-08-26
25,57151,IT,2017-09-28
28,59882,HR,2016-04-24
31,71877,HR,2018-12-11
29,70826,Sales,2015-03-19
35,69954,IT,2018-10-06
26,60283,HR,2017-08-11
26,70913,IT,2018-04-03
30,57197,HR,2015-07-28
33,73677,IT,2017-01-07
25,56017,HR,2015-05-14
27,65500,HR,2016-03-27
32,71939,IT,2016-08-06
32,71220,HR,2017-02-02
31,66532,HR,2015-12-31
26,66085,HR,2018-12-09
33,65075,HR,2016-08-22
27,68638,HR,2016-04-02
34,64974,Sales,2016-06-11
28,74506,Sales,2016-10-05
31,66074,IT,2015-02-13
31,56803,HR,2016-05-21
32,61021,HR,2017-04-06
32,61018,IT,2015-11-18
30,69228,Sales,2018-03-26
32,63655,Sales,2018-12-07
27,72057,IT,2018-03-08
26,68674,IT,2016-03-14
26,74929,IT,2015-01-09
32,64087,HR,2018-08-23
29,61690,HR,2016-07-04
29,68489,Sales,2018-10-10
34,65804,IT,2016-02-11
27,61176,HR,2017-08-22
30,65455,HR,2018-12-23
28,73503,HR,2017-05-15
28,64439,Sales,2015-03-13
26,65608,HR,2017-08-16
25,61353,IT,2015-08-23
29,65832,IT,2016-11-01
35,69144,Sales,2016-09-15
27,64752,HR,2017-09-08
26,58692,IT,2018-01-24
26,73925,IT,2015-05-05
32,60067,IT,2018-06-11
