aircraft_id,flight_number,departure_airport,arrival_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_duration,altitude,speed,heading,fuel_consumption,passenger_count,cargo_weight,weather_conditions,maintenance_status,incident_reported,sensor_data
2685,AA8158,LAX,SEA,2023-04-13 20:42:00,2023-05-06 17:49:00,2023-02-14 03:14:00,2023-09-22 04:02:00,340,36155,439.4308253145755,98,4271.14131942778,241,44582.5443809068,Foggy,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 919.0798554626422}, 'cabin_pressure': {'unit': 'Pascal', 'value': 79287.02020986433}, 'vibration_level': {'unit': 'G-force', 'value': 0.5291697636452645}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4961.780293206018}}"
1769,AA8400,DFW,JFK,2023-05-14 10:41:00,2023-12-13 01:17:00,2023-02-25 15:07:00,2023-05-06 14:14:00,339,24135,495.83664588872,148,1854.0454652426877,81,31865.92880751154,Turbulence,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1032.4868023402137}, 'cabin_pressure': {'unit': 'Pascal', 'value': 76185.02623598151}, 'vibration_level': {'unit': 'G-force', 'value': 0.7888849389091657}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4795.673251004314}}"
7949,DL3255,MIA,ORD,2023-08-21 14:52:00,2023-03-13 16:33:00,2023-09-28 16:25:00,2023-02-01 08:51:00,71,28587,438.9116646370602,328,3023.410771807316,184,25216.021958816385,Snowy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1083.90620493121}, 'cabin_pressure': {'unit': 'Pascal', 'value': 84932.55015422964}, 'vibration_level': {'unit': 'G-force', 'value': 0.5449112989956159}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5522.015846990784}}"
3433,DL5499,ATL,CLT,2023-08-12 19:15:00,2023-06-07 04:00:00,2023-08-10 17:08:00,2023-05-17 20:00:00,333,27774,433.2663215486284,155,4362.8121120447995,70,49072.013140426374,Foggy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 974.3448132804687}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78924.5818622948}, 'vibration_level': {'unit': 'G-force', 'value': 1.2542649733470226}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5836.852864290817}}"
6311,UA2648,DEN,MIA,2023-07-03 14:32:00,2023-01-20 17:40:00,2023-03-12 21:03:00,2023-07-27 09:49:00,330,11742,523.4703514825949,189,3931.2061790650023,69,14428.823733052628,Icing,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1090.1857189005098}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80771.2258603832}, 'vibration_level': {'unit': 'G-force', 'value': 0.8571211593005028}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5575.098171717558}}"
6051,UA5199,JFK,DFW,2023-08-09 12:35:00,2023-09-15 02:39:00,2023-01-18 15:22:00,2023-08-29 00:43:00,267,28309,504.61694491635694,262,3168.948821967393,203,26901.937132477786,Clear,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 950.20027665246}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80640.74028833518}, 'vibration_level': {'unit': 'G-force', 'value': 0.8585784615248732}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5313.262147415752}}"
7420,UA3557,MIA,DEN,2023-10-02 17:49:00,2023-06-18 03:57:00,2023-05-15 00:26:00,2023-02-16 01:12:00,86,10619,534.0192069221883,79,3361.390761835092,176,11680.987006856212,Clear,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 948.0797825787014}, 'cabin_pressure': {'unit': 'Pascal', 'value': 76915.92945734826}, 'vibration_level': {'unit': 'G-force', 'value': 1.418239086675437}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4203.607365899074}}"
2184,AA1098,JFK,ATL,2023-10-07 12:50:00,2023-11-17 02:03:00,2023-06-15 18:54:00,2023-12-05 06:03:00,131,27658,585.9211754843978,251,3033.44218766512,117,39596.16483067721,Turbulence,Unscheduled Maintenance,True,"{'engine_temperature': {'unit': 'Celsius', 'value': 1001.1915815469863}, 'cabin_pressure': {'unit': 'Pascal', 'value': 77208.5278296301}, 'vibration_level': {'unit': 'G-force', 'value': 0.5389299633256674}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4072.037636582853}}"
5555,AA3961,DFW,CLT,2023-07-12 00:48:00,2023-03-26 03:51:00,2023-04-15 18:40:00,2023-04-05 13:10:00,119,27340,506.45204266780803,96,2190.193805275282,159,46723.06208796603,Snowy,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 935.0443544211655}, 'cabin_pressure': {'unit': 'Pascal', 'value': 83667.70354506001}, 'vibration_level': {'unit': 'G-force', 'value': 0.7824787439770267}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5900.918341150591}}"
4385,UA5433,ATL,LAX,2023-03-18 02:35:00,2023-09-26 14:20:00,2023-08-10 18:23:00,2023-07-17 23:09:00,204,11939,516.1864106525595,259,3260.0879714360644,165,21201.493182019578,Rainy,Operational,True,"{'engine_temperature': {'unit': 'Celsius', 'value': 1016.3244585978387}, 'cabin_pressure': {'unit': 'Pascal', 'value': 79366.14189768766}, 'vibration_level': {'unit': 'G-force', 'value': 1.0800888346694546}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5033.396770452536}}"
7396,UA3869,ORD,SEA,2023-01-24 04:12:00,2023-02-07 19:20:00,2023-01-24 13:31:00,2023-02-11 15:22:00,152,30337,417.92526783098845,259,3755.5412082003627,192,44333.66707196483,Foggy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1051.7552507514652}, 'cabin_pressure': {'unit': 'Pascal', 'value': 77824.96065972852}, 'vibration_level': {'unit': 'G-force', 'value': 0.8530503916003024}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5788.188605066502}}"
9666,DL1956,DEN,DEN,2023-03-14 11:28:00,2023-06-06 03:08:00,2023-09-11 11:22:00,2023-02-22 03:49:00,67,36957,543.5271571817259,102,4493.291663443231,169,21688.72921847591,Cloudy,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1089.2913026300812}, 'cabin_pressure': {'unit': 'Pascal', 'value': 83925.58227486475}, 'vibration_level': {'unit': 'G-force', 'value': 0.9194479939573136}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5560.731006013763}}"
3558,AA9352,LAX,DFW,2023-05-28 04:07:00,2023-10-16 04:24:00,2023-05-06 07:54:00,2023-01-08 00:10:00,138,26001,479.9810413608312,39,3545.1654159169925,128,46430.80646575661,Snowy,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 995.2671466602197}, 'cabin_pressure': {'unit': 'Pascal', 'value': 79975.39852146103}, 'vibration_level': {'unit': 'G-force', 'value': 0.704680109057284}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5182.260606517033}}"
8849,AA5493,ORD,MIA,2023-11-26 17:56:00,2023-10-15 23:40:00,2023-10-21 15:21:00,2023-04-20 12:32:00,86,10968,595.3450477325158,272,4044.486148172632,165,40158.47614387136,Cloudy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 937.2271795506696}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78315.64699067194}, 'vibration_level': {'unit': 'G-force', 'value': 1.3550302016199351}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4414.151618421711}}"
3047,AA5911,DFW,JFK,2023-03-19 05:09:00,2023-11-11 05:35:00,2023-04-25 17:51:00,2023-05-12 16:30:00,233,24846,564.634803119132,100,1640.286539818292,141,42196.27107365755,Snowy,Scheduled Maintenance,True,"{'engine_temperature': {'unit': 'Celsius', 'value': 914.2316570346866}, 'cabin_pressure': {'unit': 'Pascal', 'value': 75690.07592612816}, 'vibration_level': {'unit': 'G-force', 'value': 1.440784520503108}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5013.840875923669}}"
3747,DL2218,MIA,DFW,2023-12-04 00:07:00,2023-12-29 22:03:00,2023-12-03 08:44:00,2023-10-01 10:58:00,109,35892,504.4962081032237,358,2846.22989767916,63,10720.26222401818,Rainy,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 981.8824143634037}, 'cabin_pressure': {'unit': 'Pascal', 'value': 83108.78581007918}, 'vibration_level': {'unit': 'G-force', 'value': 1.335825927910516}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4664.382066231209}}"
1189,AA5735,LAX,DEN,2023-07-19 21:43:00,2023-08-30 17:42:00,2023-11-09 03:33:00,2023-09-10 15:14:00,258,35619,424.6445308344332,307,1037.326479308373,204,48512.414282961035,Rainy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1038.723611494759}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82711.22815851886}, 'vibration_level': {'unit': 'G-force', 'value': 1.1546506868659545}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4303.190149600199}}"
3734,AA5555,CLT,DFW,2023-05-15 15:48:00,2023-03-05 15:40:00,2023-09-29 15:04:00,2023-04-07 12:02:00,240,10281,571.8831586561179,220,1986.7154580864922,174,39066.83968281293,Turbulence,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1075.1766167034114}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80390.94552736009}, 'vibration_level': {'unit': 'G-force', 'value': 0.7824724263700037}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4850.456370875388}}"
4005,DL9050,SEA,DEN,2023-12-02 21:08:00,2023-06-12 21:10:00,2023-05-24 00:27:00,2023-01-20 23:22:00,83,37420,559.9562190848044,307,3905.8468604520194,217,22190.043815445333,Turbulence,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 907.5142180797815}, 'cabin_pressure': {'unit': 'Pascal', 'value': 76278.66801222418}, 'vibration_level': {'unit': 'G-force', 'value': 1.2655467505158609}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4000.0232695107325}}"
5658,UA4446,LAX,DEN,2023-06-09 17:20:00,2023-06-01 22:11:00,2023-05-13 14:38:00,2023-08-21 03:40:00,105,25360,436.9170259074066,123,4967.239805397454,107,43175.78659435388,Rainy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 983.3131656964584}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80225.10181085588}, 'vibration_level': {'unit': 'G-force', 'value': 0.5546344200009723}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5946.156325944666}}"
2899,UA7893,DFW,SFO,2023-02-11 09:57:00,2023-02-19 07:52:00,2023-01-10 16:47:00,2023-04-05 21:02:00,74,16262,459.055657844062,230,1396.7123983488636,77,21260.847936597198,Windy,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 945.2250662499343}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78041.98719636281}, 'vibration_level': {'unit': 'G-force', 'value': 0.8039425122550273}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4460.8333242347}}"
8734,UA4436,SFO,ATL,2023-09-23 08:24:00,2023-07-15 05:22:00,2023-02-09 17:43:00,2023-07-03 08:14:00,212,11058,558.6814516295674,177,2605.977263445153,75,44910.153582645115,Rainy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 900.2947644172623}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82293.44794087997}, 'vibration_level': {'unit': 'G-force', 'value': 1.4668454997992852}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4448.58696657009}}"
2267,DL6895,SEA,SEA,2023-11-11 18:15:00,2023-04-26 02:26:00,2023-04-11 08:23:00,2023-03-09 05:37:00,281,30677,437.04568930948193,62,4200.283874796638,162,14503.21561647748,Clear,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1032.6094383606844}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82418.96326958716}, 'vibration_level': {'unit': 'G-force', 'value': 1.3484253790905247}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4845.258394027218}}"
2528,DL1225,JFK,SFO,2023-01-29 02:19:00,2023-05-29 03:35:00,2023-11-25 02:40:00,2023-05-26 05:08:00,265,20724,583.5504978342755,115,1816.1425385155953,240,38147.43909843183,Clear,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 960.5861811280859}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78252.95134023031}, 'vibration_level': {'unit': 'G-force', 'value': 1.2126213330985127}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5633.5589330112725}}"
4556,AA5893,DEN,MIA,2023-08-03 00:54:00,2023-05-01 06:45:00,2023-12-05 12:08:00,2023-02-28 21:08:00,332,38404,484.9054850392724,190,3220.3397972091448,115,31627.939065796414,Windy,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 936.3227935513205}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78709.41008157765}, 'vibration_level': {'unit': 'G-force', 'value': 1.40194019674915}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5613.387039389479}}"
4890,AA8022,JFK,SFO,2023-01-04 16:27:00,2023-06-15 22:59:00,2023-02-09 07:04:00,2023-03-13 05:53:00,295,15178,417.40779251753173,61,3932.2851841186994,202,13861.378807817633,Icing,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1096.9716805524952}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82542.4825968208}, 'vibration_level': {'unit': 'G-force', 'value': 0.8931952010279223}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5181.2756679892755}}"
9838,AA8996,LAX,ORD,2023-04-13 12:15:00,2023-01-21 01:14:00,2023-07-14 22:43:00,2023-01-05 15:59:00,287,16980,563.1497287008561,255,3463.941801040716,180,19675.753130353558,Foggy,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1032.202850849464}, 'cabin_pressure': {'unit': 'Pascal', 'value': 75784.55816317124}, 'vibration_level': {'unit': 'G-force', 'value': 1.044496959103865}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5418.641656945219}}"
6393,DL8683,JFK,ORD,2023-12-18 13:31:00,2023-12-07 05:35:00,2023-10-14 05:07:00,2023-06-27 12:41:00,68,39856,474.7019366076775,6,1752.0989384616646,249,10496.161451092592,Icing,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 933.4642608002121}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82806.31717425557}, 'vibration_level': {'unit': 'G-force', 'value': 1.0837727805141117}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5904.44357139519}}"
9792,DL8679,DFW,SEA,2023-05-03 00:42:00,2023-08-19 21:53:00,2023-03-27 23:47:00,2023-07-11 15:07:00,225,19200,505.2998388307562,154,2421.5382747429576,93,28750.718618580235,Cloudy,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 908.4844596413783}, 'cabin_pressure': {'unit': 'Pascal', 'value': 77653.26137555466}, 'vibration_level': {'unit': 'G-force', 'value': 1.101553879299824}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4593.119824411861}}"
9433,AA8339,CLT,DFW,2023-10-25 04:34:00,2023-06-01 17:36:00,2023-05-06 06:20:00,2023-10-17 05:34:00,273,11229,422.46086888224386,91,4135.167137941589,146,22050.610430400015,Icing,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1042.8848328142485}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82590.0528252193}, 'vibration_level': {'unit': 'G-force', 'value': 0.6025159640664745}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5027.708928413535}}"
8513,UA2069,MIA,ATL,2023-11-22 02:24:00,2023-12-30 11:29:00,2023-09-22 13:42:00,2023-12-19 23:02:00,176,35611,400.5168029689965,13,3216.9060565280665,91,33934.299371910354,Snowy,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1001.7781111182112}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78692.8077021554}, 'vibration_level': {'unit': 'G-force', 'value': 1.432924862569672}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5655.012639746443}}"
3612,AA2060,DEN,SEA,2023-08-19 06:13:00,2023-05-08 20:10:00,2023-06-21 07:38:00,2023-12-06 11:57:00,131,30969,527.5970411586595,228,1020.918454171651,55,21889.51230834469,Icing,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1039.4418763819274}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82143.26635734997}, 'vibration_level': {'unit': 'G-force', 'value': 0.9617161438131191}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5841.989042193152}}"
8041,AA1301,JFK,DEN,2023-04-18 07:50:00,2023-06-25 15:27:00,2023-10-25 17:59:00,2023-05-28 02:15:00,123,18467,503.03503406674633,85,4043.9630401123754,216,21996.764460279388,Snowy,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1038.9190854506571}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82289.81061655817}, 'vibration_level': {'unit': 'G-force', 'value': 1.3616909037873453}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4548.143178684382}}"
7235,AA1606,JFK,LAX,2023-09-25 03:38:00,2023-02-03 02:14:00,2023-06-17 23:46:00,2023-01-05 15:52:00,264,29124,518.7077138246294,132,1141.2454197609563,229,39727.72794926414,Windy,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1061.4141807733406}, 'cabin_pressure': {'unit': 'Pascal', 'value': 76952.40602956493}, 'vibration_level': {'unit': 'G-force', 'value': 0.8453419522448878}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4671.220908539685}}"
6486,DL1699,LAX,ATL,2023-09-01 04:44:00,2023-07-24 10:28:00,2023-08-12 15:59:00,2023-07-20 00:55:00,268,12289,558.7487700761033,182,3982.9351309249287,72,11925.713439134139,Clear,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1095.705093677828}, 'cabin_pressure': {'unit': 'Pascal', 'value': 83565.37223747927}, 'vibration_level': {'unit': 'G-force', 'value': 1.2011698615902597}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5454.113523230781}}"
8099,AA1190,MIA,ATL,2023-01-22 23:26:00,2023-01-04 17:42:00,2023-11-27 02:39:00,2023-01-23 13:40:00,131,11239,529.321182684572,61,1809.9222406609497,138,46115.79980767949,Turbulence,Grounded,True,"{'engine_temperature': {'unit': 'Celsius', 'value': 1012.4145588805143}, 'cabin_pressure': {'unit': 'Pascal', 'value': 84470.90667108519}, 'vibration_level': {'unit': 'G-force', 'value': 0.9962587528823615}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4761.035419739789}}"
1775,AA1980,ORD,DEN,2023-11-02 11:59:00,2023-12-19 05:28:00,2023-04-19 15:49:00,2023-11-18 15:21:00,336,15370,434.9546885654754,218,4832.293920477521,172,44090.55497564726,Snowy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 932.6070673863182}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82862.05652261058}, 'vibration_level': {'unit': 'G-force', 'value': 1.2344439320755916}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4768.71007704827}}"
9226,DL2184,JFK,DEN,2023-07-25 22:57:00,2023-11-22 06:47:00,2023-02-18 12:44:00,2023-01-14 02:38:00,333,26170,472.15450382212,245,2471.7630052083377,227,36712.187329056265,Clear,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 905.0386827918459}, 'cabin_pressure': {'unit': 'Pascal', 'value': 83389.9732771801}, 'vibration_level': {'unit': 'G-force', 'value': 0.5114179834540736}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5407.399559258101}}"
4152,DL9319,DFW,JFK,2023-10-15 23:27:00,2023-08-09 04:12:00,2023-12-06 09:41:00,2023-08-06 03:47:00,154,10125,581.1782209575521,229,2307.726465352316,220,33728.86280429537,Foggy,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1094.0514219452114}, 'cabin_pressure': {'unit': 'Pascal', 'value': 79376.61328148203}, 'vibration_level': {'unit': 'G-force', 'value': 0.7349734049959528}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5409.742020086764}}"
2585,UA2816,SFO,SEA,2023-02-23 22:44:00,2023-12-05 06:58:00,2023-07-15 17:35:00,2023-02-20 00:44:00,225,38641,553.9889400503358,78,1595.5522013297787,196,45692.09992558609,Cloudy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1063.4256284031171}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80464.30316077848}, 'vibration_level': {'unit': 'G-force', 'value': 1.4670352752561462}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4103.337443315922}}"
4943,UA6854,DEN,DEN,2023-05-10 01:08:00,2023-01-02 08:26:00,2023-06-25 14:02:00,2023-07-21 18:49:00,91,22504,511.3274115873435,148,2222.4168619608595,246,17413.207181148577,Foggy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1000.9591196609056}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82184.53947322551}, 'vibration_level': {'unit': 'G-force', 'value': 1.362640471149179}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4358.51122381558}}"
8555,UA1569,JFK,ORD,2023-08-25 18:02:00,2023-12-28 16:52:00,2023-10-27 02:17:00,2023-10-19 09:39:00,70,33857,451.12899956185447,137,4506.603047312802,100,13158.766487633144,Windy,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1060.0006963527362}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80527.07075718546}, 'vibration_level': {'unit': 'G-force', 'value': 0.8965536819899632}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4263.430057158187}}"
